                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4303,                 3.7283,                 4.2399,                  0.004,                      1,                0.02662,                0.01045,                 2.5176,                 3.4692,                 4.1589,                      0,                      0,                      0
                      2,                 3.3414,                 3.5695,                 4.3699,                 0.0042,                      1,                0.03243,                 0.0114,                 2.5179,                 3.4698,                 4.1589,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 3.1316,                 3.5292,                 4.2845,                0.00405,                      1,                0.02393,                0.00965,                 2.5181,                 3.4703,                 4.1588,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 3.5226,                   3.71,                 4.2494,                0.00418,                      1,                0.02948,                0.00961,                 2.5182,                 3.4705,                 4.1587,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 2.9548,                 3.6315,                  4.227,                0.00402,                      1,                0.03963,                0.01347,                 2.5183,                 3.4708,                 4.1585,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                  3.098,                 3.5403,                 4.1701,                0.00415,                      1,                0.05941,                0.02082,                 2.5182,                 3.4709,                 4.1583,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 2.9011,                 3.6296,                 4.2791,                0.00406,                      1,                0.31487,                0.07658,                  2.518,                 3.4709,                 4.1579,             0.00011287,             0.00011287,             0.00011287
                      8,                 3.2381,                 3.5488,                 4.2741,                0.00418,                      1,                0.16984,                0.05772,                 2.5176,                 3.4706,                 4.1575,              0.0001303,              0.0001303,              0.0001303
                      9,                  3.261,                 3.6846,                 4.1977,                0.00416,                      1,                0.27272,                0.09451,                  2.517,                 3.4703,                  4.157,             0.00014733,             0.00014733,             0.00014733
                     10,                 3.1757,                 3.5853,                 4.2346,                0.00404,                      1,                0.16506,                0.05945,                 2.5163,                 3.4699,                 4.1564,             0.00016396,             0.00016396,             0.00016396
                     11,                 3.1293,                 3.5127,                 4.2176,                0.00416,                      1,                0.11457,                0.03262,                 2.5155,                 3.4697,                 4.1557,              0.0001802,              0.0001802,              0.0001802
                     12,                  3.447,                 3.5753,                 4.2049,                0.00423,                      1,                0.39869,                0.13555,                 2.5144,                 3.4694,                  4.155,             0.00019604,             0.00019604,             0.00019604
                     13,                 3.4491,                 3.5271,                 4.2245,                0.00428,                      1,                0.44119,                0.16332,                 2.5133,                 3.4694,                 4.1541,             0.00021149,             0.00021149,             0.00021149
                     14,                 3.3711,                 3.6221,                 4.1762,                 0.0041,                      1,                0.22278,                0.04134,                 2.5121,                 3.4694,                 4.1532,             0.00022654,             0.00022654,             0.00022654
                     15,                 3.4135,                 3.6021,                 4.1684,                0.00418,                      1,                0.46093,                0.09132,                 2.5104,                 3.4691,                  4.152,             0.00024119,             0.00024119,             0.00024119
                     16,                 3.2536,                 3.4458,                 4.2306,                0.00428,                      1,                0.56295,                 0.1604,                 2.5089,                  3.468,                 4.1505,             0.00025545,             0.00025545,             0.00025545
                     17,                 3.2914,                 3.4709,                 4.1601,                0.00416,                      1,                0.48407,                0.12545,                  2.507,                 3.4669,                  4.149,             0.00026931,             0.00026931,             0.00026931
                     18,                 3.3292,                 3.5726,                 4.1336,                0.00416,                      1,                0.48407,                0.12545,                  2.507,                 3.4669,                  4.149,             0.00028278,             0.00028278,             0.00028278
                     19,                 3.1532,                 3.4438,                 4.1561,                0.00414,                      1,                0.39417,                0.09672,                 2.5039,                  3.465,                 4.1468,             0.00029585,             0.00029585,             0.00029585
                     20,                 2.8979,                  3.498,                 4.1687,                0.00414,                      1,                0.39417,                0.09672,                 2.5039,                  3.465,                 4.1468,             0.00030852,             0.00030852,             0.00030852
                     21,                 2.9882,                  3.404,                 4.1932,                0.00416,                      1,                0.12854,                0.03628,                 2.4992,                 3.4621,                 4.1436,              0.0003208,              0.0003208,              0.0003208
                     22,                 3.2101,                 3.4542,                 4.1582,                0.00416,                      1,                0.12854,                0.03628,                 2.4992,                 3.4621,                 4.1436,             0.00033268,             0.00033268,             0.00033268
                     23,                 3.1906,                  3.526,                  4.186,                0.00413,                      1,                0.32188,                 0.0682,                 2.4934,                 3.4593,                 4.1398,             0.00034417,             0.00034417,             0.00034417
                     24,                 3.0304,                 3.4782,                 4.1289,                0.00413,                      1,                0.32188,                 0.0682,                 2.4934,                 3.4593,                 4.1398,             0.00035526,             0.00035526,             0.00035526
                     25,                 3.1527,                 3.3496,                 4.1069,                0.00413,                      1,                0.45352,                0.11556,                 2.4875,                 3.4573,                 4.1357,             0.00036595,             0.00036595,             0.00036595
                     26,                  3.188,                 3.4874,                 4.1344,                0.00413,                      1,                0.45352,                0.11556,                 2.4875,                 3.4573,                 4.1357,             0.00037625,             0.00037625,             0.00037625
                     27,                 3.2341,                 3.2916,                 4.1063,                0.00414,                      1,                0.48335,                0.09349,                 2.4799,                 3.4553,                 4.1308,             0.00038615,             0.00038615,             0.00038615
                     28,                 3.4055,                  3.298,                 4.0672,                0.00414,                      1,                0.48335,                0.09349,                 2.4799,                 3.4553,                 4.1308,             0.00039566,             0.00039566,             0.00039566
                     29,                 3.1294,                 3.4581,                 4.0998,                0.00416,                      1,                0.29274,                0.08551,                 2.4698,                 3.4521,                 4.1246,             0.00040477,             0.00040477,             0.00040477
                     30,                 3.1437,                 3.3815,                 4.0794,                0.00416,                      1,                0.29274,                0.08551,                 2.4698,                 3.4521,                 4.1246,             0.00041348,             0.00041348,             0.00041348
                     31,                 3.2701,                 3.4067,                 4.1019,                0.00416,                      1,                0.25157,                 0.0623,                 2.4596,                 3.4495,                 4.1174,              0.0004218,              0.0004218,              0.0004218
                     32,                 3.3388,                 3.3079,                 4.1102,                0.00416,                      1,                0.25157,                 0.0623,                 2.4596,                 3.4495,                 4.1174,             0.00042972,             0.00042972,             0.00042972
                     33,                 3.1486,                 3.5495,                 4.1556,                0.00418,                      1,                0.31489,                0.08733,                 2.4503,                 3.4473,                 4.1094,             0.00043725,             0.00043725,             0.00043725
                     34,                 3.1422,                 3.2661,                 4.0569,                0.00418,                      1,                0.31489,                0.08733,                 2.4503,                 3.4473,                 4.1094,             0.00044438,             0.00044438,             0.00044438
                     35,                 3.4328,                  3.486,                 4.1022,                0.00415,                      1,                0.32441,                 0.0938,                 2.4403,                  3.443,                 4.0987,             0.00045111,             0.00045111,             0.00045111
                     36,                 3.0616,                 3.2369,                 4.0262,                0.00415,                      1,                0.32441,                 0.0938,                 2.4403,                  3.443,                 4.0987,             0.00045745,             0.00045745,             0.00045745
                     37,                 2.9924,                  3.359,                 4.0039,                0.00416,                      1,                 0.2453,                0.08027,                  2.429,                 3.4335,                 4.0873,             0.00046339,             0.00046339,             0.00046339
                     38,                 3.0479,                 3.3567,                 4.0052,                0.00416,                      1,                 0.2453,                0.08027,                  2.429,                 3.4335,                 4.0873,             0.00046894,             0.00046894,             0.00046894
                     39,                 2.8448,                  3.209,                 4.0243,                0.00416,                      1,                0.22735,                0.07265,                 2.4164,                 3.4246,                 4.0742,             0.00047409,             0.00047409,             0.00047409
                     40,                 3.0326,                 3.3923,                 3.9851,                0.00416,                      1,                0.22735,                0.07265,                 2.4164,                 3.4246,                 4.0742,             0.00047884,             0.00047884,             0.00047884
                     41,                 2.9402,                 3.0112,                 3.9278,                0.00405,                      1,                0.18729,                 0.0585,                 2.4051,                 3.4158,                 4.0621,              0.0004832,              0.0004832,              0.0004832
